Temperature,Vdd,Uniqueness
10,1.63,49.89635263157894
10,1.64,49.90734210526318
10,1.65,49.901910526315795
10,1.66,49.91963157894738
10,1.67,49.9039052631579
10,1.68,49.89602105263155
10,1.69,49.91229999999997
10,1.7,49.93053684210526
10,1.71,49.91673684210525
10,1.72,49.92361578947366
10,1.73,49.91746842105264
10,1.74,49.92355263157896
10,1.75,49.93349473684212
10,1.76,49.926799999999986
10,1.77,49.93111578947368
10,1.78,49.922778947368435
10,1.79,49.931736842105266
10,1.8,49.95059999999996
10,1.81,49.94146315789473
10,1.82,49.959057894736844
10,1.83,49.949794736842094
10,1.84,49.9377421052632
10,1.85,49.949742105263155
10,1.86,49.95821052631578
10,1.87,49.95871052631575
10,1.88,49.97478421052633
10,1.89,49.95655789473681
10,1.9,49.95059999999999
10,1.91,49.9680210526316
10,1.92,49.96457368421051
10,1.93,49.9858789473684
10,1.94,49.99098421052632
10,1.95,49.97194736842103
10,1.96,49.97217894736842
10,1.97,49.98917368421051
10,1.98,49.99983684210525
10,1.99,50.01576842105264
10,2.0,50.00191052631576
10,2.01,49.98428421052633
10,2.02,49.99581578947366
10,2.03,49.98308947368415
10,2.04,50.00398947368422
10,2.05,50.00154210526316
10,2.06,50.000368421052656
10,2.07,50.00963157894738
10,2.08,50.01946315789474
10,2.09,50.00719473684212
10,2.1,50.01956842105264
10,2.11,50.03348421052634
10,2.12,50.0146
10,2.13,50.01806842105264
10,2.14,50.03383157894734
10,2.15,50.02937368421052
10,2.16,50.032336842105266
10,2.17,50.028989473684234
10,2.18,50.02712631578946
10,2.19,50.033763157894725
10,2.2,50.05439473684209
10,2.21,50.05354736842107
10,2.22,50.05945789473684
10,2.23,50.04983157894733
10,2.24,50.033284210526304
10,2.25,50.06935263157896
10,2.26,50.0451105263158
10,2.27,50.06688947368419
10,2.28,50.05453157894736
10,2.29,50.07172105263153
10,2.3,50.05781052631577
10,2.31,50.04575789473685
10,2.32,50.073757894736815
10,2.33,50.073921052631576
10,2.34,50.05692105263157
10,2.35,50.09982105263157
10,2.36,50.06851052631579
10,2.37,50.0902947368421
10,2.38,50.10723684210529
10,2.39,50.08800526315787
10,2.4,50.09382631578948
10,2.41,50.0834789473684
10,2.42,50.096273684210516
10,2.43,50.1113684210526
10,2.44,50.09290526315792
10,2.45,50.1219315789474
10,2.46,50.11005263157894
10,2.47,50.11436315789476
10,2.48,50.10426842105261
10,2.49,50.106394736842105
10,2.5,50.1321894736842
10,2.51,50.13060526315791
10,2.52,50.124957894736845
10,2.53,50.13915789473683
10,2.54,50.15140000000004
10,2.55,50.14488421052632
10,2.56,50.14099473684206
10,2.57,50.1367578947368
10,2.58,50.154878947368395
10,2.59,50.14591052631576
10,2.6,50.15397368421056
10,2.61,50.1555052631579
10,2.62,50.15163157894735
10,2.63,50.15029473684214
10,2.64,50.14020526315789
10,2.65,50.159368421052605
10,2.66,50.17537894736842
10,2.67,50.16102631578945
10,2.68,50.16107368421052
10,2.69,50.16786315789473
10,2.7,50.181468421052664
10,2.71,50.16947894736844
10,2.72,50.168447368421056
10,2.73,50.19096315789472
10,2.74,50.195036842105246
10,2.75,50.19973684210526
10,2.76,50.18995789473683
10,2.77,50.19278421052632
10,2.78,50.18813157894735
10,2.79,50.20165263157893
10,2.8,50.20756315789473
10,2.81,50.194315789473684
10,2.82,50.21870526315788
10,2.83,50.22366842105267
10,2.84,50.215594736842085
10,2.85,50.20944736842103
10,2.86,50.22157368421056
10,2.87,50.20701578947372
10,2.88,50.2295842105263
10,2.89,50.23585263157892
10,2.9,50.230010526315816
10,2.91,50.23818947368424
10,2.92,50.245047368421055
10,2.93,50.26496842105265
10,2.94,50.24306315789476
10,2.95,50.25654210526317
10,2.96,50.25296842105262
10,2.97,50.24498421052635
10,2.98,50.23547368421052
10,2.99,50.253036842105224
10,3.0,50.27889999999999
50,0.5,49.72975789473682
50,0.51,49.74452631578945
50,0.52,49.74444736842108
50,0.53,49.75970526315788
50,0.54,49.712294736842104
50,0.55,49.7388157894737
50,0.56,49.75372631578946
50,0.57,49.71001052631579
50,0.58,49.73039473684214
50,0.59,49.74209473684212
50,0.6,49.73254210526314
50,0.61,49.73580526315789
50,0.62,49.74996315789473
50,0.63,49.75806842105264
50,0.64,49.73657368421056
50,0.65,49.75454736842105
50,0.66,49.73583157894736
50,0.67,49.75034736842102
50,0.68,49.745810526315765
50,0.69,49.752157894736825
50,0.7,49.73866842105266
50,0.71,49.73771052631579
50,0.72,49.75209473684211
50,0.73,49.731736842105256
50,0.74,49.76075263157894
50,0.75,49.73271578947367
50,0.76,49.75266842105265
50,0.77,49.7458894736842
50,0.78,49.767105263157866
50,0.79,49.725015789473694
50,0.8,49.75321578947366
50,0.81,49.74509473684209
50,0.82,49.73584736842105
50,0.83,49.756026315789455
50,0.84,49.74934210526315
50,0.85,49.7595947368421
50,0.86,49.758357894736854
50,0.87,49.762352631578985
50,0.88,49.73735789473684
50,0.89,49.76293157894736
50,0.9,49.76962631578948
50,0.91,49.76353684210527
50,0.92,49.76187894736842
50,0.93,49.75228421052629
50,0.94,49.72849473684208
50,0.95,49.74028421052631
50,0.96,49.76475789473689
50,0.97,49.76865789473682
50,0.98,49.785342105263155
50,0.99,49.775242105263146
50,1.0,49.75946315789476
50,1.01,49.76737368421055
50,1.02,49.76554210526315
50,1.03,49.77058947368422
50,1.04,49.77246842105265
50,1.05,49.765021052631575
50,1.06,49.75457894736843
50,1.07,49.762699999999995
50,1.08,49.7588
50,1.09,49.78815789473689
50,1.1,49.77820526315792
50,1.11,49.77455789473688
50,1.12,49.76832105263162
50,1.13,49.776542105263154
50,1.14,49.784026315789475
50,1.15,49.783515789473675
50,1.16,49.78773684210528
50,1.17,49.805710526315785
50,1.18,49.79301052631576
50,1.19,49.79715263157895
50,1.2,49.7862842105263
50,1.21,49.78671052631581
50,1.22,49.783742105263165
50,1.23,49.796405263157894
50,1.24,49.781163157894746
50,1.25,49.79241052631576
50,1.26,49.78447368421053
50,1.27,49.793821052631564
50,1.28,49.79145263157896
50,1.29,49.786736842105235
50,1.3,49.81294210526317
50,1.31,49.787505263157875
50,1.32,49.79670526315788
50,1.33,49.78186315789473
50,1.34,49.80133157894737
50,1.35,49.80146842105266
50,1.36,49.81384736842104
50,1.37,49.82227368421056
50,1.38,49.82193157894736
50,1.39,49.81108421052636
50,1.4,49.82562105263158
50,1.41,49.828752631578965
50,1.42,49.84048421052632
50,1.43,49.814347368421046
50,1.44,49.823473684210526
50,1.45,49.81571578947368
50,1.46,49.804100000000005
50,1.47,49.8122894736842
50,1.48,49.836552631578954
50,1.49,49.843942105263174
50,1.5,49.8134789473684
50,1.51,49.82033684210528
50,1.52,49.827857894736844
50,1.53,49.842694736842134
50,1.54,49.84947894736841
50,1.55,49.84123157894736
50,1.56,49.8388631578947
50,1.57,49.84492105263159
50,1.58,49.83921052631577
50,1.59,49.85672631578949
50,1.6,49.82871578947369
50,1.61,49.84937368421053
50,1.62,49.84605263157896
50,1.63,49.82806315789473
50,1.64,49.852273684210516
50,1.65,49.84082631578948
50,1.66,49.86224736842104
50,1.67,49.8635789473684
50,1.68,49.82764210526314
50,1.69,49.860315789473674
50,1.7,49.861805263157905
50,1.71,49.86280526315791
50,1.72,49.86810526315791
50,1.73,49.86228947368419
50,1.74,49.883210526315786
50,1.75,49.846047368421054
50,1.76,49.852789473684176
50,1.77,49.872578947368474
50,1.78,49.87319473684212
50,1.79,49.86717368421053
50,1.8,49.85213157894738
50,1.81,49.878963157894724
50,1.82,49.87467368421053
50,1.83,49.87958947368422
50,1.84,49.875757894736836
50,1.85,49.890789473684194
50,1.86,49.90352105263159
50,1.87,49.888778947368415
50,1.88,49.867415789473704
50,1.89,49.887315789473696
50,1.9,49.89553157894738
50,1.91,49.90429999999997
50,1.92,49.91032631578948
50,1.93,49.91791052631579
50,1.94,49.89258421052632
50,1.95,49.90774736842105
50,1.96,49.919631578947346
50,1.97,49.9056105263158
50,1.98,49.90255789473685
50,1.99,49.91736842105265
50,2.0,49.90927894736843
50,2.01,49.9172105263158
50,2.02,49.910247368421096
50,2.03,49.89577894736843
50,2.04,49.938826315789484
50,2.05,49.93038947368423
50,2.06,49.91383684210528
50,2.07,49.93210526315792
50,2.08,49.88887894736843
50,2.09,49.94542631578944
50,2.1,49.95071052631577
50,2.11,49.927105263157884
50,2.12,49.92725789473682
50,2.13,49.92174736842105
50,2.14,49.952773684210555
50,2.15,49.95416842105261
50,2.16,49.95227894736841
50,2.17,49.94828947368422
50,2.18,49.958163157894724
50,2.19,49.95372105263156
50,2.2,49.94353157894738
50,2.21,49.96907894736843
50,2.22,49.950831578947366
50,2.23,49.949963157894715
50,2.24,49.94991578947368
50,2.25,49.99004210526316
50,2.26,49.96514210526315
50,2.27,49.95977368421052
50,2.28,49.9650789473684
50,2.29,49.96234210526312
50,2.3,49.97429999999998
50,2.31,49.96219473684208
50,2.32,49.97521578947367
50,2.33,49.974784210526316
50,2.34,49.9924157894737
50,2.35,49.99728947368421
50,2.36,49.98306842105264
50,2.37,49.99821578947366
50,2.38,49.973073684210505
50,2.39,50.002505263157914
50,2.4,50.00814210526319
50,2.41,49.98919473684211
50,2.42,49.994536842105255
50,2.43,50.0047052631579
50,2.44,49.993015789473695
50,2.45,50.014242105263186
50,2.46,49.993815789473686
50,2.47,50.013215789473705
50,2.48,50.0111947368421
50,2.49,50.003778947368396
50,2.5,50.031842105263124
50,2.51,50.023999999999994
50,2.52,50.01575263157897
50,2.53,50.01572105263159
50,2.54,50.03067368421051
50,2.55,50.0264894736842
50,2.56,50.028505263157875
50,2.57,50.039578947368426
50,2.58,50.04289473684209
50,2.59,50.04207368421052
